gene,original_gene_id,ensembl_id,pathway,effect_size,raw_p_value,adjusted_p_value,gene_signal,direction,dataset_name,comparison,cell_type,evidence_tier_of_parent_pathway,parent_pathway_overlap_count
SESN1,ENSG00000080546.14,ENSG00000080546,p53_pathway,0.104,0.052553090255112,0.997120482783777,0.00013024568998408573,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BTG2,ENSG00000159388.6,ENSG00000159388,p53_pathway,-0.073,0.388718107163587,0.997120482783777,9.142245546959863e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
FAS,ENSG00000026103.25,ENSG00000026103,p53_pathway,-0.053,0.328735978745405,0.997120482783777,6.637520739573599e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
PMAIP1,ENSG00000141682.12,ENSG00000141682,p53_pathway,-0.052,0.131569670356091,0.997120482783777,6.512284499204287e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
TP53,ENSG00000141510.18,ENSG00000141510,p53_pathway,-0.04,0.544316527442027,0.997120482783777,5.009449614772528e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
SESN2,ENSG00000130766.5,ENSG00000130766,p53_pathway,-0.039,0.18136460412718,0.997120482783777,4.884213374403215e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BBC3,ENSG00000105327.18,ENSG00000105327,p53_pathway,-0.032,0.44095381752479,0.997120482783777,4.007559691818023e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
DDB2,ENSG00000134574.12,ENSG00000134574,p53_pathway,-0.028,0.490090450745512,0.997120482783777,3.50661473034077e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
RRM2B,ENSG00000048392.13,ENSG00000048392,p53_pathway,-0.028,0.58374318530841,0.997120482783777,3.50661473034077e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
MDM2,ENSG00000135679.27,ENSG00000135679,p53_pathway,-0.02,0.714229878555223,0.997120482783777,2.504724807386264e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
CDKN1A,ENSG00000124762.14,ENSG00000124762,p53_pathway,0.015,0.8001502225626,0.997120482783777,1.8785436055396978e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
GADD45A,ENSG00000116717.13,ENSG00000116717,p53_pathway,-0.013,0.718436785013413,0.997120482783777,1.6280711248010717e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
BAX,ENSG00000087088.21,ENSG00000087088,p53_pathway,-0.006,0.919426785432838,0.997120482783777,7.514174422158792e-06,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
ZMAT3,ENSG00000172667.11,ENSG00000172667,p53_pathway,-0.003,0.949654459938376,0.997120482783777,3.757087211079396e-06,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
