gene,original_gene_id,ensembl_id,pathway,effect_size,raw_p_value,adjusted_p_value,gene_signal,direction,dataset_name,comparison,cell_type,evidence_tier_of_parent_pathway,parent_pathway_overlap_count
GADD45A,ENSG00000116717.13,ENSG00000116717,DNA_repair,-0.013,0.718436785013413,0.997120482783777,1.6280711248010717e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
XPC,ENSG00000154767.15,ENSG00000154767,DNA_repair,-0.01,0.835543070755489,0.997120482783777,1.252362403693132e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
MSH6,ENSG00000116062.19,ENSG00000116062,DNA_repair,0.008,0.843660449267156,0.997120482783777,1.0018899229545057e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
CHEK2,ENSG00000183765.23,ENSG00000183765,DNA_repair,-0.007,0.742787476034612,0.997120482783777,8.766536825851924e-06,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
BRCA2,ENSG00000139618.18,ENSG00000139618,DNA_repair,0.003,0.796530171993927,0.997120482783777,3.757087211079396e-06,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
RAD51,ENSG00000051180.17,ENSG00000051180,DNA_repair,0.002,0.809470330696737,0.997120482783777,2.504724807386264e-06,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
CHEK1,ENSG00000149554.14,ENSG00000149554,DNA_repair,0.002,0.825875914732546,0.997120482783777,2.504724807386264e-06,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
MLH1,ENSG00000076242.16,ENSG00000076242,DNA_repair,-0.002,0.970446459280396,0.998273222846833,1.5011560324938053e-06,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,21
ATR,ATR,,DNA_repair,0.302717368231114,0.000121556738781983,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,limited pathway-level signal,3
ATM,ATM,,DNA_repair,0.428746621201244,0.00176782534700219,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
ATR,ATR,,DNA_repair,0.327105817849536,0.00401742452723977,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell,limited pathway-level signal,3
BCL2,BCL2,,apoptosis,0.793776829362397,3.68436001940202e-17,1.12745100953721e-12,7.93776829362397,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell,gene-level signal only,1
BCL2,BCL2,,apoptosis,0.595238068163094,1.42081452788474e-55,4.34783453678009e-51,5.95238068163094,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD4+ T Cell,gene-level signal only,1
BCL2,BCL2,,apoptosis,0.578555078321826,5.49202647850045e-18,1.68061502268592e-13,5.78555078321826,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD8+ T Cell,gene-level signal only,1
BCL2,BCL2,,apoptosis,0.47580653840106,7.65508248017873e-18,2.34253178975949e-13,4.7580653840106,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell,gene-level signal only,1
APAF1,APAF1,,apoptosis,0.27529680184225,1.65104429595886e-38,5.05236065006372e-34,2.7529680184225,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD14+ Monocyte,gene-level signal only,1
CASP8,CASP8,,apoptosis,0.310521615288051,1.04251957091632e-11,3.19021413896104e-07,2.0172043578870933,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other,gene-level signal only,1
BCL2,BCL2,,apoptosis,0.313763263054012,2.05561907911324e-07,0.00629039994399443,0.6906938925533073,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Natural Killer Cell,gene-level signal only,1
BID,BID,,apoptosis,-0.344844564522496,4.69991681472958e-07,0.014382215444754,0.635263763162641,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte,gene-level signal only,1
CASP3,ENSG00000164305.20,ENSG00000164305,apoptosis,0.07,0.251762929664745,0.997120482783777,8.766536825851925e-05,up,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
CASP8,ENSG00000064012.24,ENSG00000064012,apoptosis,-0.069,0.241905473748429,0.997120482783777,8.641300585482612e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
APAF1,ENSG00000120868.14,ENSG00000120868,apoptosis,-0.067,0.0523840254347566,0.997120482783777,8.390828104743985e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
CASP9,ENSG00000132906.18,ENSG00000132906,apoptosis,-0.06,0.0590629591046367,0.997120482783777,7.514174422158791e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
TNFRSF10B,ENSG00000120889.13,ENSG00000120889,apoptosis,-0.058,0.25079866757423,0.997120482783777,7.263701941420165e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
FAS,ENSG00000026103.25,ENSG00000026103,apoptosis,-0.053,0.328735978745405,0.997120482783777,6.637520739573599e-05,down,OSD-569_whole_blood_RNA,"(R+82) vs (L-92, L-44, L-3)",unknown,stronger pathway-level coverage,14
