gene,pathway,effect_size,adjusted_p_value,gene_signal,direction,dataset_name,comparison,cell_type
ATM,cell_cycle_checkpoint,0.447717450468995,0.0183063334724482,0.7778636853818024,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
ATM,cell_cycle_checkpoint,0.514432819027536,0.151929403420046,0.4209902990801619,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
ATR,cell_cycle_checkpoint,0.302717368231114,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
ATM,cell_cycle_checkpoint,0.428746621201244,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
ATR,cell_cycle_checkpoint,0.327105817849536,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
RB1,cell_cycle_checkpoint,0.25343677611557,1.0,-0.0,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
SOD2,oxidative_stress,0.376286556983365,1.53609070310036e-10,3.692719411165522,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other
SOD1,oxidative_stress,-0.455083026830571,3.24121338046725e-07,2.9531668168657728,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
TXN,oxidative_stress,-0.571782695638896,0.000391274002850224,1.9483604030749233,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
PRDX1,oxidative_stress,-0.320141475413348,0.00340265443537901,0.7901674765203603,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
GPX4,oxidative_stress,-0.2965945789497,0.00289282435742883,0.7529581130578799,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
SOD2,oxidative_stress,-0.314768303314496,0.713620930981365,0.04612376131719441,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),CD16+ Monocyte
SOD1,oxidative_stress,-0.255670640035524,1.0,-0.0,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
GPX4,oxidative_stress,-0.285172469856079,1.0,-0.0,down,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Dendritic Cell
SESN1,p53_pathway,0.33597696253731,1.86815237476548e-28,3.3597696253731,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),B Cell
SESN1,p53_pathway,0.26080239857143,0.000520827038975608,0.8562942045136162,up,OSD-570_PBMC_snRNA,(R+45)_vs_(R+1),Other T Cell
